*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb_io_2015
*Date=09:43:42
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
240;;;28.2956;-32.6086;0;Bottom;Copper Fill25
241;;;35.9156;-7.2086;0;Bottom;Copper Fill94
242;;;43.5356;-35.1486;0;Bottom;Copper Fill169
243;;;13.3604;-3.4367;0;Bottom;Copper Fill266
244;;;53.6956;-32.6086;0;Bottom;Copper Fill35
245;;;4.1021;-37.3584;0;Bottom;Copper Fill120
246;;;65.1256;-16.0986;0;Bottom;Copper Fill202
247;;;66.3321;-20.696;0;Bottom;Copper Fill276
248;;;39.6621;-2.5604;0;Bottom;Copper Fill154
249;;;54.9021;-37.3584;0;Bottom;Copper Fill291
250;;;25.7556;-4.6686;0;Bottom;Copper Fill100
251;;;32.0421;-37.3584;0;Bottom;Copper Fill302
252;;;49.8221;-37.3584;0;Bottom;Copper Fill295
253;;;30.8356;-29.3574;0;Bottom;Copper Fill44
254;;;28.2956;-7.2086;0;Bottom;Copper Fill91
255;;THT;24.4848;-5.93239;-90;Bottom;J9
256;;;54.9656;-18.41;0;Bottom;Copper Fill65
257;;;65.5828;-26.2967;0;Bottom;Copper Fill274
258;;;58.7756;-35.1486;0;Bottom;Copper Fill18
259;;;40.9956;-7.2086;0;Bottom;Copper Fill213
260;;;35.4068;-19.9024;0;Bottom;Teensy++2
261;;;40.9956;-32.6086;0;Bottom;Copper Fill30
262;;;15.5956;-7.2086;0;Bottom;Copper Fill203
263;;;30.8356;-2.2302;0;Bottom;Copper Fill247
264;;;18.1356;-35.1486;0;Bottom;Copper Fill159
265;;;42.2021;-37.3584;0;Bottom;Copper Fill301
266;;;8.3312;-36.4567;0;Bottom;Copper Fill271
267;;;66.3321;-25.5728;0;Bottom;Copper Fill273
268;;;20.6756;-32.6086;0;Bottom;Copper Fill178
269;;;38.4556;-35.1486;0;Bottom;Copper Fill10
270;;;3.2004;-3.4367;0;Bottom;Copper Fill281
271;;;20.6756;-7.2086;0;Bottom;Copper Fill205
272;;;61.0362;-3.3732;0;Bottom;Copper Fill239
273;;THT;37.1848;-3.39239;-90;Bottom;J4
274;;;54.9021;-21.712;0;Bottom;Copper Fill279
275;;;46.0756;-10.4598;0;Bottom;Copper Fill80
276;;;33.3756;-7.2086;0;Bottom;Copper Fill93
277;;;14.2621;-2.5604;0;Bottom;Copper Fill108
278;100nF;100 mil [THT, multilayer];57.5048;-23.7124;90;Bottom;C3
279;;;15.5956;-7.2086;0;Bottom;Copper Fill86
280;;;53.6956;-32.6086;0;Bottom;Copper Fill191
281;;;44.7421;-37.3584;0;Bottom;Copper Fill299
282;;;46.0756;-4.6686;0;Bottom;Copper Fill233
283;;;53.6956;-7.2086;0;Bottom;Copper Fill218
284;;;40.9956;-2.2302;0;Bottom;Copper Fill251
285;;;48.6156;-7.2086;0;Bottom;Copper Fill216
286;;THT;4.16475;-4.66239;180;Bottom;5VPwr
287;;;37.1221;-37.3584;0;Bottom;Copper Fill305
288;;;32.0421;-2.5604;0;Bottom;Copper Fill145
289;;;35.9156;-35.1486;0;Bottom;Copper Fill166
290;;;34.9758;-20.0102;0;Bottom;Copper Fill95
291;;;20.6756;-29.3574;0;Bottom;Copper Fill40
292;;;46.0756;-32.6086;0;Bottom;Copper Fill188
293;;;53.6956;-35.1486;0;Bottom;Copper Fill173
294;;THT;4.16475;-35.1424;0;Bottom;5VData
295;;;53.6956;-4.6686;0;Bottom;Copper Fill236
296;;;53.6956;-35.1486;0;Bottom;Copper Fill16
297;;;18.1356;-32.6086;0;Bottom;Copper Fill21
298;;;56.2356;-26.2332;0;Bottom;Copper Fill195
299;;;58.7756;-32.6086;0;Bottom;Copper Fill37
300;;;15.5956;-25.5982;0;Bottom;Copper Fill56
301;;;48.6156;-29.3574;0;Bottom;Copper Fill51
302;;;18.1356;-2.2302;0;Bottom;Copper Fill242
303;;;66.0183;-35.1423;0;Bottom;Hole5
304;;;48.6156;-35.1486;0;Bottom;Copper Fill14
305;;;14.2621;-20.442;0;Bottom;Copper Fill263
306;;;38.4556;-32.6086;0;Bottom;Copper Fill185
307;;;40.9956;-35.1486;0;Bottom;Copper Fill11
308;;;25.7556;-35.1486;0;Bottom;Copper Fill5
309;;;46.0756;-21.1786;0;Bottom;Copper Fill198
310;;;23.2156;-2.2302;0;Bottom;Copper Fill244
311;;;39.6621;-37.3584;0;Bottom;Copper Fill155
312;;;46.0756;-32.6086;0;Bottom;Copper Fill32
313;;;58.7756;-32.6086;0;Bottom;Copper Fill193
314;;;56.2356;-23.7186;0;Bottom;Copper Fill59
315;;;59.9821;-2.5604;0;Bottom;Copper Fill117
316;;;16.8021;-2.5604;0;Bottom;Copper Fill116
317;1µF;100 mil [THT, electrolytic];9.24475;-35.1424;90;Bottom;C6
318;;;56.2356;-7.2086;0;Bottom;Copper Fill219
319;;;20.6756;-35.1486;0;Bottom;Copper Fill160
320;;;21.8821;-2.5604;0;Bottom;Copper Fill129
321;;;56.2356;-32.6086;0;Bottom;Copper Fill192
322;;;13.462;-21.2167;0;Bottom;Copper Fill107
323;;;4.1021;-37.3584;0;Bottom;Copper Fill284
324;;;25.7556;-7.2086;0;Bottom;Copper Fill207
325;;;38.4556;-10.4598;0;Bottom;Copper Fill77
326;;;30.8356;-32.6086;0;Bottom;Copper Fill182
327;;;48.6156;-32.6086;0;Bottom;Copper Fill33
328;;;25.7556;-29.3574;0;Bottom;Copper Fill42
329;;;30.8356;-10.4598;0;Bottom;Copper Fill74
330;;;57.4421;-37.3584;0;Bottom;Copper Fill127
